ticket_id,customer_id,created_at,ticket_category,priority,resolved_at,ticket_metadata
11,27,2026-02-07,integration_issue,high,2026-02-10 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I need help setting up Apollo and Claygent together."", ""customer_sentiment"": ""neutral"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
12,29,2026-05-08,onboarding,high,2026-05-12 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""Can someone explain how actions are different from data credits?"", ""customer_sentiment"": ""happy"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
13,29,2026-05-14,integration_issue,low,2026-05-15 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""The workflow failed and I do not know what to fix."", ""customer_sentiment"": ""frustrated"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
14,37,2026-02-15,onboarding,high,2026-02-19 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""This is working well but I want to improve deliverability."", ""customer_sentiment"": ""happy"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
15,39,2026-02-14,integration_issue,low,,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""Can someone explain how actions are different from data credits?"", ""customer_sentiment"": ""confused"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
16,39,2026-03-13,credits,medium,2026-03-14 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""Can someone explain how actions are different from data credits?"", ""customer_sentiment"": ""frustrated"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
17,39,2026-03-10,integration_issue,high,,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I am not sure why this workflow consumed so many credits."", ""customer_sentiment"": ""confused"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
18,40,2026-03-02,integration_issue,medium,2026-03-06 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""Can someone explain how actions are different from data credits?"", ""customer_sentiment"": ""neutral"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
19,40,2026-02-15,workflow_setup,medium,,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I need help setting up Apollo and Claygent together."", ""customer_sentiment"": ""frustrated"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
20,40,2026-02-10,credits,medium,2026-02-14 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I need help setting up Apollo and Claygent together."", ""customer_sentiment"": ""neutral"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
21,40,2026-02-16,onboarding,medium,2026-02-20 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I am not sure why this workflow consumed so many credits."", ""customer_sentiment"": ""happy"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
22,57,2026-03-22,billing,high,2026-03-28 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I am not sure why this workflow consumed so many credits."", ""customer_sentiment"": ""neutral"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
23,57,2026-03-04,credits,high,2026-03-09 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""Can someone explain how actions are different from data credits?"", ""customer_sentiment"": ""confused"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
24,57,2026-03-14,workflow_setup,high,,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""This is working well but I want to improve deliverability."", ""customer_sentiment"": ""happy"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
25,57,2026-03-01,onboarding,medium,2026-03-08 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I need help setting up Apollo and Claygent together."", ""customer_sentiment"": ""frustrated"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
26,58,2026-03-22,integration_issue,high,2026-03-24 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I am not sure why this workflow consumed so many credits."", ""customer_sentiment"": ""happy"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
27,58,2026-03-19,billing,high,2026-03-20 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I am not sure why this workflow consumed so many credits."", ""customer_sentiment"": ""happy"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
28,58,2026-04-05,workflow_setup,low,2026-04-06 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I am not sure why this workflow consumed so many credits."", ""customer_sentiment"": ""frustrated"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
29,60,2026-03-19,integration_issue,high,2026-03-21 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I need help setting up Apollo and Claygent together."", ""customer_sentiment"": ""confused"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
30,60,2026-03-27,credits,medium,2026-03-28 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I am not sure why this workflow consumed so many credits."", ""customer_sentiment"": ""happy"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
31,60,2026-04-01,integration_issue,medium,2026-04-03 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I need help setting up Apollo and Claygent together."", ""customer_sentiment"": ""confused"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
32,60,2026-04-07,workflow_setup,low,2026-04-13 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I need help setting up Apollo and Claygent together."", ""customer_sentiment"": ""frustrated"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
33,69,2026-02-02,billing,high,2026-02-06 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""This is working well but I want to improve deliverability."", ""customer_sentiment"": ""frustrated"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
34,69,2026-01-10,billing,high,2026-01-17 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I need help setting up Apollo and Claygent together."", ""customer_sentiment"": ""confused"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
35,69,2026-01-10,credits,medium,2026-01-16 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""This is working well but I want to improve deliverability."", ""customer_sentiment"": ""neutral"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
36,73,2026-03-12,onboarding,high,,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""Can someone explain how actions are different from data credits?"", ""customer_sentiment"": ""frustrated"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
37,73,2026-03-06,integration_issue,low,2026-03-12 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""This is working well but I want to improve deliverability."", ""customer_sentiment"": ""confused"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
38,76,2026-03-01,integration_issue,low,2026-03-04 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I need help setting up Apollo and Claygent together."", ""customer_sentiment"": ""frustrated"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
39,76,2026-02-23,credits,low,2026-02-26 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""The workflow failed and I do not know what to fix."", ""customer_sentiment"": ""neutral"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
40,76,2026-02-01,billing,low,2026-02-02 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""This is working well but I want to improve deliverability."", ""customer_sentiment"": ""confused"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
41,99,2026-03-22,workflow_setup,low,2026-03-28 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I am not sure why this workflow consumed so many credits."", ""customer_sentiment"": ""neutral"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
42,99,2026-03-06,workflow_setup,high,2026-03-11 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I need help setting up Apollo and Claygent together."", ""customer_sentiment"": ""frustrated"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
43,99,2026-03-21,credits,medium,2026-03-26 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I need help setting up Apollo and Claygent together."", ""customer_sentiment"": ""happy"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
