customer_id,company_name,industry,employee_count,created_at,customer_status,primary_use_case
56,GrowthCo 56,FinTech,81,2026-01-25,active,Pipeline generation
57,GrowthCo 57,Healthcare,1018,2026-02-11,active,Outbound prospecting
58,GrowthCo 58,Healthcare,4335,2026-03-05,active,AI account research
59,GrowthCo 59,Healthcare,2782,2026-02-01,active,CRM enrichment
60,GrowthCo 60,Ecommerce,315,2026-03-12,active,Pipeline generation
61,GrowthCo 61,Marketing Tech,3899,2026-01-23,active,AI account research
62,GrowthCo 62,Cybersecurity,314,2026-03-25,active,Pipeline generation
63,GrowthCo 63,FinTech,4723,2026-02-05,active,AI account research
64,GrowthCo 64,Data Infrastructure,4942,2026-03-01,active,CRM enrichment
65,GrowthCo 65,Healthcare,1123,2026-01-21,churned,Outbound prospecting
66,GrowthCo 66,Marketing Tech,4531,2026-02-20,active,AI account research
67,GrowthCo 67,Data Infrastructure,178,2026-03-23,active,AI account research
68,GrowthCo 68,Cybersecurity,3782,2026-01-14,active,Sales enrichment
69,GrowthCo 69,Ecommerce,439,2026-01-07,churned,CRM enrichment
70,GrowthCo 70,Ecommerce,695,2026-02-21,active,Pipeline generation
71,GrowthCo 71,Ecommerce,3951,2026-04-07,active,AI account research
72,GrowthCo 72,Marketing Tech,3608,2026-02-26,active,Pipeline generation
73,GrowthCo 73,Data Infrastructure,194,2026-02-14,active,CRM enrichment
74,GrowthCo 74,Marketing Tech,3617,2026-02-23,churned,CRM enrichment
75,GrowthCo 75,AI Software,1760,2026-03-17,active,Sales enrichment
76,GrowthCo 76,Marketing Tech,732,2026-01-28,churned,Sales enrichment
77,GrowthCo 77,HR Tech,530,2026-04-02,active,Outbound prospecting
78,GrowthCo 78,Cybersecurity,246,2026-03-30,active,CRM enrichment
79,GrowthCo 79,SaaS,4831,2026-03-04,active,Sales enrichment
80,GrowthCo 80,FinTech,885,2026-03-14,active,CRM enrichment
81,GrowthCo 81,Healthcare,3975,2026-02-01,active,AI account research
82,GrowthCo 82,SaaS,2707,2026-03-12,active,CRM enrichment
83,GrowthCo 83,Ecommerce,4120,2026-04-07,active,Pipeline generation
84,GrowthCo 84,Data Infrastructure,3016,2026-03-05,churned,Sales enrichment
85,GrowthCo 85,Data Infrastructure,3627,2026-03-15,churned,Pipeline generation
86,GrowthCo 86,Cybersecurity,2796,2026-01-04,active,CRM enrichment
87,GrowthCo 87,SaaS,266,2026-04-15,active,CRM enrichment
88,GrowthCo 88,Marketing Tech,2947,2026-04-07,active,AI account research
89,GrowthCo 89,AI Software,779,2026-03-13,active,Outbound prospecting
90,GrowthCo 90,AI Software,2596,2026-01-20,active,Pipeline generation
91,GrowthCo 91,AI Software,3014,2026-04-07,active,AI account research
92,GrowthCo 92,HR Tech,3925,2026-02-17,active,CRM enrichment
93,GrowthCo 93,Healthcare,3774,2026-01-08,active,Pipeline generation
94,GrowthCo 94,HR Tech,4702,2026-01-09,active,CRM enrichment
95,GrowthCo 95,HR Tech,4100,2026-01-03,active,Outbound prospecting
96,GrowthCo 96,SaaS,1162,2026-02-14,active,Sales enrichment
97,GrowthCo 97,Cybersecurity,3764,2026-02-14,active,AI account research
98,GrowthCo 98,Data Infrastructure,3587,2026-01-30,active,Pipeline generation
99,GrowthCo 99,AI Software,1791,2026-02-18,active,Sales enrichment
100,GrowthCo 100,Data Infrastructure,4986,2026-03-09,active,CRM enrichment
